Instancia;N_Itens;Algoritmo;Parametros;Melhor_Lucro;Otimo_Conhecido;Gap(%);Tempo_Medio(s);Iteracoes/Geracoes
P06;7;Busca Tabu;tabu_size=10, max_iterations=100;1735;1735;0.0;0.0001;9
P06;7;Busca Tabu;tabu_size=10, max_iterations=500;1735;1735;0.0;0.0001;9
P06;7;Busca Tabu;tabu_size=10, max_iterations=1000;1735;1735;0.0;0.0001;9
P06;7;Busca Tabu;tabu_size=20, max_iterations=100;1735;1735;0.0;0.0001;9
P06;7;Busca Tabu;tabu_size=20, max_iterations=500;1735;1735;0.0;0.0001;9
P06;7;Busca Tabu;tabu_size=20, max_iterations=1000;1735;1735;0.0;0.0001;9
P06;7;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;1735;1735;0.0;0.0178;100
P06;7;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;1735;1735;0.0;0.0185;100
P06;7;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;1735;1735;0.0;0.0884;500
P06;7;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;1735;1735;0.0;0.0925;500
P06;7;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;1735;1735;0.0;0.1759;1000
P06;7;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;1735;1735;0.0;0.1837;1000
P06;7;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;1735;1735;0.0;0.0361;100
P06;7;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;1735;1735;0.0;0.038;100
P06;7;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;1735;1735;0.0;0.1794;500
P06;7;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;1735;1735;0.0;0.1845;500
P06;7;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;1735;1735;0.0;0.352;1000
P06;7;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;1735;1735;0.0;0.372;1000
P07;15;Busca Tabu;tabu_size=5, max_iterations=100;1456;1458;0.14;0.0034;100
P07;15;Busca Tabu;tabu_size=5, max_iterations=500;1456;1458;0.14;0.0246;500
P07;15;Busca Tabu;tabu_size=5, max_iterations=1000;1456;1458;0.14;0.0337;1000
